,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
74,0.312000036239624,0.058369906617635074,0.0,0.0,0.1,"(25, 25, 25)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'pca__n_components': 45}",0.9230769230769231,0.8784530386740331,0.8941504178272981,0.9327731092436975,0.8816901408450705,0.9020589872008904,0.02199101583094293,192,0.9832519190509421,0.9916376306620209,0.954798331015299,0.9451388888888889,0.9868238557558946,0.9723301250746091,0.018702196197113982
75,0.3775199890136719,0.09010266844627036,0.003119945526123047,0.006239891052246094,0.1,"(25, 25, 25)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'pca__n_components': 50}",0.9313186813186813,0.8977900552486188,0.9192200557103064,0.9607843137254902,0.8873239436619719,0.9193099610461881,0.02581369749691593,96,0.9930216329378926,0.9867595818815331,0.9666203059805285,0.9965277777777778,0.9916782246879334,0.986921504653133,0.010623401719353266
76,0.30887999534606936,0.05528637748054785,0.0,0.0,0.1,"(25, 25, 25)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'pca__n_components': 55}",0.8928571428571429,0.9033149171270718,0.9387186629526463,0.9523809523809523,0.8901408450704226,0.9154145798553144,0.025272975287519935,114,0.9658060013956734,0.9930313588850174,0.9888734353268428,0.9888888888888889,0.978502080443828,0.9830203529880501,0.009855629995926872
77,0.2964000225067139,0.03946517700678648,0.0,0.0,0.1,"(25, 25, 25)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'pca__n_components': 60}",0.9203296703296703,0.861878453038674,0.8913649025069638,0.938375350140056,0.8676056338028169,0.895937673900946,0.029576008099310092,222,0.9909281228192603,0.975609756097561,0.9735744089012517,0.9791666666666666,0.984743411927878,0.9808044732825234,0.006323683194066005
78,0.2905599594116211,0.05754426095408255,0.0031200408935546874,0.006240081787109375,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.6043956043956044,0.5303867403314917,0.5403899721448467,0.5294117647058824,0.49859154929577465,0.5409015025041736,0.03491151887221197,343,0.5582693649685974,0.5672473867595819,0.588317107093185,0.5416666666666666,0.5755894590846047,0.5662179969145271,0.01576834286853327
79,0.3962400436401367,0.07806247579728756,0.0,0.0,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 5}",0.8489010989010989,0.7651933701657458,0.7910863509749304,0.8263305322128851,0.7718309859154929,0.8007790762381747,0.032221005827753176,311,0.8841591067690161,0.8564459930313589,0.8442280945757997,0.8986111111111111,0.883495145631068,0.8733878902236707,0.019958497700849894
80,0.3745999336242676,0.09223085195349888,0.0031199932098388674,0.006239986419677735,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 10}",0.8983516483516484,0.8342541436464088,0.8746518105849582,0.9131652661064426,0.8056338028169014,0.8653311074012242,0.03989190502380568,283,0.9504535938590369,0.9658536585365853,0.9394993045897079,0.9645833333333333,0.9070735090152566,0.9454926798667842,0.021520159878315154
81,0.35567989349365237,0.08395057134921863,0.0031199932098388674,0.006239986419677735,0.1,"(100, 25, 100)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 15}",0.9148351648351648,0.8425414364640884,0.8997214484679665,0.9635854341736695,0.8816901408450705,0.9003895381190874,0.039736238262586064,196,0.9560362875087229,0.972822299651568,0.958970792767733,0.9895833333333334,0.9882108183079057,0.9731247063138527,0.014077755177466511
82,0.3431999206542969,0.04627710643869536,0.0,0.0,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 20}",0.9505494505494505,0.9033149171270718,0.935933147632312,0.9607843137254902,0.8760563380281691,0.9254312743461325,0.031277358793933605,53,0.9902302861130495,0.9874564459930314,0.9735744089012517,0.98125,0.978502080443828,0.9822026442902322,0.006018199322396412
83,0.4024800300598145,0.09223806698239355,0.0,0.0,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 25}",0.9368131868131868,0.914364640883978,0.935933147632312,0.9551820728291317,0.8929577464788733,0.9271007234279355,0.021314844145301413,38,0.9776692254012561,0.9930313588850174,0.9826147426981919,0.9972222222222222,0.9937586685159501,0.9888592435445276,0.007423754046237727
