,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
168,0.28499999046325686,0.029926515772645563,0.0014000415802001953,0.0004899403160383115,0.01,"(25, 25, 25)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25, 25), 'rp__n_components': 60}",0.9175824175824175,0.8425414364640884,0.9052924791086351,0.8851540616246498,0.8873239436619719,0.887590428491931,0.02558947320544763,84,0.9748778785764132,0.956794425087108,0.9735744089012517,0.9604166666666667,0.9736477115117892,0.9678622181486457,0.0076583657265855256
169,0.2518001556396484,0.05077158552722878,0.0009999275207519531,0.0,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 2}",0.37637362637362637,0.31215469613259667,0.3593314763231198,0.4649859943977591,0.29577464788732394,0.3617139677239844,0.059305768512742066,341,0.39846475924633634,0.4062717770034843,0.41863699582753827,0.37430555555555556,0.3668515950069348,0.3929061365279699,0.019475299733368506
170,0.4086001396179199,0.14045150761462236,0.0011999130249023438,0.0003999710083007813,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 5}",0.6126373626373627,0.5441988950276243,0.6072423398328691,0.5742296918767507,0.6056338028169014,0.5887590428491931,0.0261138232162971,315,0.636427076064201,0.6452961672473868,0.6710709318497914,0.7027777777777777,0.680998613037448,0.6673141131953211,0.024074259010212894
171,0.574199914932251,0.1932660074013762,0.0014000415802001953,0.0004899403392425328,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 10}",0.8269230769230769,0.7817679558011049,0.8133704735376045,0.8375350140056023,0.8,0.8119087367835282,0.01968700747301602,242,0.9316120027913468,0.9198606271777003,0.8574408901251739,0.9527777777777777,0.9348127600554785,0.9193008115854955,0.03267983022066082
172,0.5161999702453614,0.11379698777731677,0.001199960708618164,0.0004000663757324219,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 15}",0.8379120879120879,0.7900552486187845,0.8217270194986073,0.876750700280112,0.8225352112676056,0.8297161936560935,0.028158712348956567,217,0.9658060013956734,0.9797909407665505,0.9304589707927677,0.9708333333333333,0.9389736477115118,0.9571725787999673,0.019065992991255262
173,0.4634000301361084,0.06550303688999955,0.0009999275207519531,0.0,0.01,"(100, 25, 100)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 20}",0.8598901098901099,0.8066298342541437,0.8579387186629527,0.865546218487395,0.8619718309859155,0.8503060656649972,0.022080628345371577,191,0.9804605722260991,0.9797909407665505,0.9652294853963839,0.9368055555555556,0.9639389736477115,0.9652451055184601,0.015834178076176868
174,0.5684000492095947,0.07143281564775393,0.0013999462127685547,0.0004899208473093904,0.01,"(100, 25, 100)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 25}",0.8901098901098901,0.8121546961325967,0.8746518105849582,0.8991596638655462,0.8366197183098592,0.862548692264886,0.033072903152890964,156,0.9699930216329379,0.9902439024390244,0.9847009735744089,0.9819444444444444,0.9909847434119279,0.9835734171005486,0.007586503923644203
175,0.45619997978210447,0.12161487323071721,0.001600027084350586,0.0004898819214545809,0.01,"(100, 25, 100)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 30}",0.9038461538461539,0.856353591160221,0.8607242339832869,0.896358543417367,0.8704225352112676,0.8775737340011129,0.019168945885233192,118,0.9685973482205164,0.9958188153310105,0.9840055632823366,0.9569444444444445,0.9930651872399445,0.9796862717036504,0.014819349214186433
176,0.4520000457763672,0.08146644638324207,0.0018000125885009766,0.00040004257295020516,0.01,"(100, 25, 100)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 35}",0.8928571428571429,0.8259668508287292,0.9080779944289693,0.9439775910364145,0.8591549295774648,0.885920979410128,0.04053474288820533,93,0.9818562456385206,0.9804878048780488,0.9881780250347705,0.9930555555555556,0.9944521497919556,0.9876059561797701,0.005667856956016193
177,0.3402000904083252,0.0527272364584732,0.001399993896484375,0.0004898819214545809,0.01,"(100, 25, 100)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 40}",0.9203296703296703,0.8591160220994475,0.8774373259052924,0.9523809523809523,0.856338028169014,0.8931552587646077,0.03737620374176053,66,0.9937194696441033,0.9735191637630662,0.9770514603616134,0.9840277777777777,0.9271844660194175,0.9711004675131955,0.023015708560491264
178,0.3470000267028809,0.012946061196159243,0.0016000747680664062,0.0004899208473093904,0.01,"(100, 25, 100)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 45}",0.9203296703296703,0.856353591160221,0.9275766016713092,0.927170868347339,0.8591549295774648,0.8981636060100167,0.03304953214754204,43,0.9804605722260991,0.98397212543554,0.9812239221140473,0.9784722222222222,0.9868238557558946,0.9821905395507606,0.0029118615108094143
179,0.44060001373291013,0.0886377878978099,0.0009999275207519531,0.0,0.01,"(100, 25, 100)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 50}",0.9093406593406593,0.8535911602209945,0.9080779944289693,0.9103641456582633,0.8873239436619719,0.8937117417918754,0.02186600068284632,60,0.9972086531751571,0.9909407665505227,0.9937413073713491,0.9944444444444445,0.970873786407767,0.9894417915898479,0.009495833326242044
180,0.38919992446899415,0.1037968373768028,0.001199960708618164,0.0003999471771024199,0.01,"(100, 25, 100)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 55}",0.9230769230769231,0.9033149171270718,0.8997214484679665,0.9327731092436975,0.8985915492957747,0.9115191986644408,0.013826858861956956,13,0.9853454291695743,0.9930313588850174,0.9603616133518776,0.9972222222222222,0.9930651872399445,0.9858051621737272,0.013288044808084112
181,0.38500008583068845,0.07262779492578224,0.001399993896484375,0.0004897845816770382,0.01,"(100, 25, 100)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 60}",0.9340659340659341,0.8756906077348067,0.9554317548746518,0.9215686274509803,0.8873239436619719,0.9148580968280468,0.02951888048216337,2,0.9951151430565248,0.9944250871080139,0.9937413073713491,0.9854166666666667,0.9812760055478502,0.9899948419500809,0.005601041972121362
