,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
38,5.477999973297119,0.6815929577744693,0.009360074996948242,0.007642469232731191,0.1,"(25, 25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 5}",0.9597510922812128,0.9594809322033898,0.9618593563766389,0.9568269103430009,0.9558998808104887,0.9587637057047513,0.0021458595195693966,73,0.9608342989571264,0.956995298947229,0.958983017181448,0.9579236600787897,0.959909954646274,0.9589292459621733,0.0013671328981591205
39,6.172559976577759,1.6843034790854452,0.015600013732910156,1.784161275279017e-07,0.1,"(25, 25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 6}",0.9637230239639878,0.9684851694915254,0.9626539531187922,0.9671566679909945,0.9626539531187922,0.9649345833995445,0.0024254676996499263,38,0.9665618275120014,0.9695755810103953,0.9596782202800676,0.9664316218095144,0.9655046843446883,0.9655503869913333,0.0032399445748198994
40,6.472080183029175,2.149557825484492,0.015599870681762695,1.1680077279964342e-07,0.1,"(25, 25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 7}",0.9671653647557262,0.9609375,0.9645080121838168,0.9647728777645345,0.9627863859091511,0.96403411197627,0.002084373626093984,50,0.9695414666445953,0.963186121962524,0.9638163339623266,0.9641804879663655,0.9659350481676433,0.965331891740691,0.0022939613126180523
41,7.472480010986328,1.7440328012337698,0.012480020523071289,0.0062400102622188576,0.1,"(25, 25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 8}",0.9617370581226002,0.9643802966101694,0.9633161170705867,0.9692755926367369,0.9630512514898689,0.9643519254197785,0.002601715135425782,49,0.9653368647574905,0.968946566907237,0.9628562915880425,0.967623398550005,0.9652729499784818,0.9660072143562513,0.0021056434560182313
42,7.449840116500854,3.6889373851538396,0.015599918365478516,1.784161275279017e-07,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",0.9365814907983583,0.9385593220338984,0.943053900145676,0.940670109919216,0.9408025427095749,0.9399332591768632,0.0021981975926260245,134,0.9405727528554875,0.9402767662053897,0.9389876518687721,0.9408415267984243,0.9408415267984243,0.9403040449052995,0.0006904509088204302
43,5.156040048599243,0.8289300155188898,0.021840000152587892,0.007642449767299332,0.1,"(100, 25, 100)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 3}",0.9376406725804316,0.9385593220338984,0.944378228049265,0.9390809164349093,0.9401403787577804,0.939959743630489,0.0023523064357263345,133,0.9413673232908459,0.9402105541945309,0.9384248684079849,0.9399145893335982,0.9401132187903466,0.9400061108034613,0.0009396672123168303
44,7.428200101852417,1.8883434688194012,0.018719911575317383,0.0062400102622188576,0.1,"(100, 25, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 4}",0.9373758771349133,0.938426906779661,0.9446430936299828,0.9415971394517283,0.9409349754999338,0.9405953705175062,0.00255229651765389,125,0.9407382883628538,0.9399126001456665,0.9384248684079849,0.940278743337637,0.9409077366173404,0.9400524473742966,0.0008856272300253052
45,7.690480041503906,2.5680187625869366,0.021840000152587892,0.007642449767299332,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 5}",0.9589567059446578,0.9614671610169492,0.9572242087140777,0.959210700569461,0.951794464309363,0.9577308120133482,0.0032603093297479844,80,0.9603707995365006,0.9616301397073429,0.9556063164167246,0.9600754791935644,0.9565001489720926,0.9588365767652449,0.0023488801332565367
46,9.325039958953857,1.3459017324660494,0.02184019088745117,0.007642391365053469,0.1,"(100, 25, 100)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 6}",0.9655765920826161,0.96875,0.9696728910078135,0.9676863991524302,0.9643755793934579,0.9672122464113565,0.0019680348868000752,24,0.9690779672239695,0.9703039131298418,0.9670937199986758,0.9671599298175919,0.9691793292945344,0.9685629718929227,0.0012492574772098519
47,11.112120008468628,1.9493576259661727,0.015599918365478516,2.3360154559928684e-07,0.1,"(100, 25, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 7}",0.9678273533695221,0.9680879237288136,0.9717918156535558,0.967951264733148,0.9631836842802278,0.9677684199374967,0.0027328940451161587,16,0.9714285714285714,0.9709660332384294,0.9693117489323667,0.9692124342039925,0.9681199721918761,0.9698077519990473,0.0012180060795733297
